
2024/03/26 (21:17:21) | ===> btop++ v.1.3.2
2024/03/26 (21:17:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/27 (19:57:04) | ===> btop++ v.1.3.2
2024/03/27 (19:57:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/28 (14:21:32) | ===> btop++ v.1.3.2
2024/03/28 (14:21:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/29 (15:07:05) | ===> btop++ v.1.3.2
2024/03/29 (15:07:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/29 (21:09:33) | ===> btop++ v.1.3.2
2024/03/29 (21:09:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/06 (10:20:43) | ===> btop++ v.1.3.2
2024/04/06 (10:20:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/06 (11:21:34) | ===> btop++ v.1.3.2
2024/04/06 (11:21:34) | WARNING: Failed to set locale UTF-8 continuing anyway.
